ECHH_MYLC1_112024,1,2,3,4,5,6,7,8,9,10,11,12,,,Notes (optional use)
A,,1.1,8.7,8.7,12.1,12.1,19.5,19.5,12.5,12.5,NTC,NTC,,,"ECHH: 50,000 copies/µL of 1:1:1:1 VR-3247SD, VR-538DQ, VR-1493DQ, VR-1467DQ"
B,1.5,1.5,8.11,8.11,12.6,12.6,19.6,19.6,33.5,33.5,"ECHH POS 50,000","ECHH POS 50,000",,,"A1 excluded, weird curves"
C,1.6,1.6,NEC1,NEC1,16.7,16.7,20.7,20.7,33.6,33.6,"ECHH POS 5,000","ECHH POS 5,000",,,
D,4.7,4.7,9.7,9.7,16.11,16.11,20.12,20.12,35.7,35.7,ECHH POS  500,ECHH POS  500,,,
E,4.12,4.12,9.11,9.11,16.12,16.12,21.1,21.1,35.11,35.11,ECHH POS 50,ECHH POS 50,,,
F,6.7,6.7,9.12,9.12,10.6,10.6,21.5,21.5,35.12,35.12,ECHH POS 5,ECHH POS 5,,,
G,6.11,6.11,4.11,4.11,33.1,33.1,NEC2,NEC2,36.7,36.7,,,,,
H,6.12,6.12,20.11,20.11,19.1,19.1,24.1,24.1,36.12,36.12,,,,,
,,,,,,,,,,,,,,,
ECHH_MYLC2_112024,1,2,3,4,5,6,7,8,9,10,11,12,,,
A,40.1,40.1,42.12,42.12,49.7,49.7,NEC3,NEC3,122.7,122.7,NTC,NTC,,,"ECHH: 50,000 copies/µL of 1:1:1:1 VR-3247SD, VR-538DQ, VR-1493DQ, VR-1467DQ"
B,40.5,40.5,43.1,43.1,49.11,49.11,119.7,119.7,122.11,122.11,"ECHH POS 50,000","ECHH POS 50,000",,,
C,40.6,40.6,43.5,43.5,49.12,49.12,119.12,119.12,122.12,122.12,"ECHH POS 5,000","ECHH POS 5,000",,,
D,41.8,41.8,43.6,43.6,109.7,109.7,120.1,120.1,28.7,28.7,ECHH POS  500,ECHH POS  500,,,
E,41.11,41.11,NEC4,NEC4,109.11,109.11,120.6,120.6,28.11,28.11,ECHH POS 50,ECHH POS 50,,,
F,41.12,41.12,48.7,48.7,109.12,109.12,121.7,121.7,28.12,28.12,ECHH POS 5,ECHH POS 5,,,
G,42.7,42.7,48.11,48.11,114.7,114.7,121.12,121.12,125.7,125.7,,,,,
H,42.11,42.11,48.12,48.12,114.12,114.12,NEC5,NEC5,125.11,125.11,,,,,
,,,,,,,,,,,,,,,
RP-SC2_MYLC1_031925,1,2,3,4,5,6,7,8,9,10,11,12,,,
A,1.1,1.1,8.7,8.7,12.1,12.1,19.5,19.5,12.5,12.5,NTC,NTC,,,RP POS= 5000 copies/µL IDT Hs_RPP30 Positive Control
B,1.5,1.5,8.11,8.11,12.6,12.6,19.6,19.6,33.5,33.5,SC2 POS,SC2 POS,,,SC2 POS= 100 copies/µL TWIST SC2 RNA
C,1.6,1.6,NEC1,NEC1,16.7,16.7,20.7,20.7,33.6,33.6,RP POS,RP POS,,,
D,4.7,4.7,9.7,9.7,16.11,16.11,20.12,20.12,35.7,35.7,,,,,
E,4.12,4.12,9.11,9.11,16.12,16.12,21.1,21.1,35.11,35.11,,,,,
F,6.7,6.7,9.12,9.12,10.6,10.6,21.5,21.5,35.12,35.12,,,,,
G,6.11,6.11,4.11,4.11,33.1,33.1,NEC2,NEC2,36.7,36.7,,,,,
H,6.12,6.12,20.11,20.11,19.1,19.1,24.1,24.1,36.12,36.12,,,,,
,,,,,,,,,,,,,,,
RP-SC2_MYLC2_031925,1,2,3,4,5,6,7,8,9,10,11,12,,,
A,40.1,40.1,42.12,42.12,49.7,49.7,NEC3,NEC3,122.7,122.7,NTC,NTC,,,RP POS= 5000 copies/µL IDT Hs_RPP30 Positive Control
B,40.5,40.5,43.1,43.1,49.11,49.11,119.7,119.7,122.11,122.11,SC2 POS,SC2 POS,,,SC2 POS= 100 copies/µL TWIST SC2 RNA
C,40.6,40.6,43.5,43.5,49.12,49.12,119.12,119.12,122.12,122.12,RP POS,RP POS,,,
D,41.8,41.8,43.6,43.6,109.7,109.7,120.1,120.1,28.7,28.7,,,,,
E,41.11,41.11,NEC4,NEC4,109.11,109.11,120.6,120.6,28.11,28.11,,,,,
F,41.12,41.12,48.7,48.7,109.12,109.12,121.7,121.7,28.12,28.12,,,,,
G,42.7,42.7,48.11,48.11,114.7,114.7,121.12,121.12,125.7,125.7,,,,,
H,42.11,42.11,48.12,48.12,114.12,114.12,NEC5,NEC5,125.11,125.11,,,,,
